id,cell,soh,soc,temperature,M,mu,RMS_error
8033,2.0,89.0,40.0,35.0,21,0.44889556249342866,0.014574449874822483
8034,2.0,89.0,40.0,35.0,21,0.46608727329987765,0.014535841950490099
8085,2.0,89.0,40.0,45.0,21,0.4788389812576187,0.012329143817160996
8086,2.0,89.0,40.0,45.0,22,0.44880497635404537,0.010815496699663182
8087,2.0,89.0,40.0,45.0,23,0.48521922182466415,0.011111874351079878
8088,2.0,89.0,40.0,45.0,21,0.44638230528571643,0.012809675973429623
8089,2.0,89.0,40.0,45.0,21,0.45227099114962677,0.012400919140205345
8090,2.0,89.0,40.0,45.0,21,0.4445953005258677,0.012790286072347177
8092,2.0,89.0,40.0,45.0,24,0.4540985964954066,0.01102598803388383
8093,2.0,89.0,40.0,45.0,21,0.46147664137823574,0.012758025167651175
8094,2.0,89.0,40.0,45.0,21,0.4588249111960865,0.012673834096016984
7995,2.0,89.0,10.0,35.0,26,0.4760146913041,0.0064353727278519965
7996,2.0,89.0,10.0,35.0,24,0.4799205080864144,0.006994058575569725
7997,2.0,89.0,10.0,35.0,26,0.4667272301484041,0.007420876172260472
7998,2.0,89.0,10.0,35.0,23,0.4787921154741728,0.007605229004396577
7999,2.0,89.0,10.0,35.0,24,0.4352646276398944,0.0069086524257574305
8000,2.0,89.0,10.0,35.0,23,0.48430124809170216,0.008034669571347486
8001,2.0,89.0,10.0,35.0,23,0.495099525347913,0.007976152779442334
8003,2.0,89.0,10.0,35.0,23,0.4920013009273859,0.007428181482545135
8004,2.0,89.0,10.0,35.0,24,0.4892437897086732,0.0066312080615511925
8055,2.0,89.0,10.0,45.0,22,0.48191245742564914,0.009551497199070723
8056,2.0,89.0,10.0,45.0,22,0.4805687599949976,0.009195248023489321
8057,2.0,89.0,10.0,45.0,26,0.3091028682240631,0.008379151387638992
8058,2.0,89.0,10.0,45.0,24,0.407529978779123,0.007871236492560845
8059,2.0,89.0,10.0,45.0,26,0.4019121926747804,0.00749357007359301
8060,2.0,89.0,10.0,45.0,22,0.45559909476042904,0.009799868677648994
8061,2.0,89.0,10.0,45.0,22,0.475730390491821,0.010067097878001599
8062,2.0,89.0,10.0,45.0,24,0.3836132693705322,0.008392873808319955
8063,2.0,89.0,10.0,45.0,24,0.41514816773321916,0.007976446130957333
8064,2.0,89.0,10.0,45.0,24,0.4542963803934843,0.007610236666272525
7918,2.0,88.0,90.0,35.0,24,0.4280410015821209,0.006757266673594717
7919,2.0,88.0,90.0,35.0,24,0.4664887593436904,0.007696549674822684
7920,2.0,88.0,90.0,35.0,27,0.46152156674905953,0.0062186003616659866
7921,2.0,88.0,90.0,35.0,26,0.4348057849628495,0.006317224005206135
7922,2.0,88.0,90.0,35.0,27,0.3424788742633108,0.006952899466459799
7983,2.0,88.0,90.0,45.0,29,0.2982267467236538,0.00745731624258483
7984,2.0,88.0,90.0,45.0,23,0.4770113917724619,0.007955108048432689
7985,2.0,88.0,90.0,45.0,26,0.499144213717449,0.006271308399978215
7986,2.0,88.0,90.0,45.0,27,0.4426019811293189,0.006178651313577314
7987,2.0,88.0,90.0,45.0,28,0.45917368182509344,0.006276386499053305
7988,2.0,88.0,90.0,45.0,26,0.40108870023519305,0.00646789315194516
7989,2.0,88.0,90.0,45.0,26,0.4375959950677627,0.006289074054100708
7990,2.0,88.0,90.0,45.0,25,0.4442313453737551,0.0065684406275186916
7991,2.0,88.0,90.0,45.0,26,0.3807783227859759,0.006383203840133105
7992,2.0,88.0,90.0,45.0,25,0.4026181692725307,0.006621742650033832
7993,2.0,88.0,90.0,45.0,27,0.4572737637684401,0.007407266502465611
7994,2.0,88.0,90.0,45.0,23,0.414997704429761,0.008291180222551904
7913,2.0,88.0,50.0,35.0,27,0.45192616833465993,0.0027777183521680315
7914,2.0,88.0,50.0,35.0,30,0.3480163186228964,0.0026717562496564964
7915,2.0,88.0,50.0,35.0,26,0.48120388994510077,0.002502681203431864
7916,2.0,88.0,50.0,35.0,26,0.4639755937708584,0.002631589464049813
7917,2.0,88.0,50.0,35.0,26,0.38432570795088516,0.003235266312355364
7971,2.0,88.0,50.0,45.0,26,0.4726038800529243,0.00415399141969385
7972,2.0,88.0,50.0,45.0,24,0.4229210049314195,0.004845239034591326
7973,2.0,88.0,50.0,45.0,25,0.45204647801175124,0.0036154753072986635
7974,2.0,88.0,50.0,45.0,27,0.3379429225547189,0.003530968729067312
7975,2.0,88.0,50.0,45.0,23,0.474073718516439,0.0048196296407856136
7976,2.0,88.0,50.0,45.0,26,0.494476895742201,0.0035196352240818496
7977,2.0,88.0,50.0,45.0,26,0.49604818517596305,0.0037868937166012084
7978,2.0,88.0,50.0,45.0,28,0.40083849841203456,0.003988898496793263
7979,2.0,88.0,50.0,45.0,26,0.4722863182785142,0.0036799021664440626
7980,2.0,88.0,50.0,45.0,29,0.4023401352304986,0.003375566548202677
7981,2.0,88.0,50.0,45.0,26,0.44428046769579965,0.0034712376367178233
7982,2.0,88.0,50.0,45.0,26,0.42503581735832496,0.00400652311918499
7908,2.0,88.0,40.0,35.0,22,0.44333618907584194,0.013628277795302532
7909,2.0,88.0,40.0,35.0,22,0.47102051458771144,0.0136566869079197
7910,2.0,88.0,40.0,35.0,21,0.49394592860134556,0.013954872037926705
7911,2.0,88.0,40.0,35.0,22,0.4535965817642704,0.013630492828536784
7912,2.0,88.0,40.0,35.0,21,0.41284376414563273,0.014634798629385486
7959,2.0,88.0,40.0,45.0,24,0.48939382247061547,0.011196125368086467
7960,2.0,88.0,40.0,45.0,21,0.46277005429704643,0.0123520562637547
7961,2.0,88.0,40.0,45.0,27,0.2666163737856322,0.01097943535561155
7962,2.0,88.0,40.0,45.0,24,0.43200292257779693,0.011130586785137193
7963,2.0,88.0,40.0,45.0,24,0.44468584554791013,0.011806094758163016
7964,2.0,88.0,40.0,45.0,21,0.4294739679964752,0.012824826931899002
7965,2.0,88.0,40.0,45.0,21,0.49719276611528707,0.011491938389467271
7966,2.0,88.0,40.0,45.0,21,0.4538902287197485,0.01238130056454857
7967,2.0,88.0,40.0,45.0,22,0.44873301025259005,0.010902204455299786
7968,2.0,88.0,40.0,45.0,21,0.4918427791690665,0.012786328238830458
7969,2.0,88.0,40.0,45.0,21,0.47382821769481664,0.011190348734582276
7970,2.0,88.0,40.0,45.0,21,0.4229759871113984,0.012716692392193828
7893,2.0,88.0,10.0,35.0,28,0.4252320176809151,0.006163817729460037
7894,2.0,88.0,10.0,35.0,27,0.4318691134537823,0.0064809092920652175
7895,2.0,88.0,10.0,35.0,24,0.47392925177888734,0.007041828263379865
7896,2.0,88.0,10.0,35.0,26,0.4922184412506565,0.006519516584290208
7897,2.0,88.0,10.0,35.0,24,0.4697932637323513,0.00800836062497926
7923,2.0,88.0,10.0,45.0,25,0.43762720872212013,0.007340606651851265
7924,2.0,88.0,10.0,45.0,29,0.4027819539339117,0.006865966726370964
7925,2.0,88.0,10.0,45.0,25,0.46742054429052493,0.007028875034583721
7926,2.0,88.0,10.0,45.0,25,0.3830679103147441,0.007566297438310121
7927,2.0,88.0,10.0,45.0,26,0.49657081228111544,0.007083701732317136
7928,2.0,88.0,10.0,45.0,24,0.4783613349264597,0.009257557834443103
7929,2.0,88.0,10.0,45.0,25,0.46022232335115676,0.007081415872147977
7930,2.0,88.0,10.0,45.0,22,0.4932103892441403,0.009461023097452946
7931,2.0,88.0,10.0,45.0,22,0.47922555131072253,0.00923334733359395
7932,2.0,88.0,10.0,45.0,25,0.4937997657407247,0.007200571493395383
7933,2.0,88.0,10.0,45.0,26,0.43367080155167104,0.007368575217798224
7934,2.0,88.0,10.0,45.0,26,0.46008734678840346,0.0072434125236269485
7814,2.0,87.0,90.0,35.0,24,0.4453889683022205,0.007989303787518116
7815,2.0,87.0,90.0,35.0,24,0.44631192542727605,0.007296711303372661
7816,2.0,87.0,90.0,35.0,23,0.4663469300925618,0.007868575675005497
7817,2.0,87.0,90.0,35.0,27,0.34420634089443525,0.006151970053803525
7818,2.0,87.0,90.0,35.0,23,0.47586389894294856,0.008022101348169755
7819,2.0,87.0,90.0,35.0,26,0.4346538962809202,0.006255106107614783
7820,2.0,87.0,90.0,35.0,23,0.4669137343464459,0.008163088666413559
7821,2.0,87.0,90.0,35.0,24,0.4423291589849928,0.007255138944204908
7822,2.0,87.0,90.0,35.0,24,0.463940204857774,0.007925691952870441
7823,2.0,87.0,90.0,35.0,27,0.49146672682693404,0.006335421106754571
7824,2.0,87.0,90.0,35.0,27,0.4252874983499899,0.00634938781689957
7825,2.0,87.0,90.0,35.0,26,0.4554260118916469,0.00638438678540801
7826,2.0,87.0,90.0,35.0,24,0.45932248088822347,0.007144721436789067
7882,2.0,87.0,90.0,45.0,26,0.461362704796242,0.0062683960534303095
7883,2.0,87.0,90.0,45.0,24,0.4104820367053531,0.007226285621662231
7884,2.0,87.0,90.0,45.0,27,0.4328783804193549,0.006160030709987916
7885,2.0,87.0,90.0,45.0,26,0.45506650365039747,0.006395327020059798
7886,2.0,87.0,90.0,45.0,28,0.41526664951274206,0.006169738010243764
7888,2.0,87.0,90.0,45.0,23,0.47940413697197903,0.00772378327868572
7889,2.0,87.0,90.0,45.0,24,0.4088364644409179,0.007024371225258195
7890,2.0,87.0,90.0,45.0,26,0.49585398896602395,0.006232752184472932
7891,2.0,87.0,90.0,45.0,25,0.39562975521850063,0.006307734082321662
7892,2.0,87.0,90.0,45.0,23,0.4768927456963249,0.007108559626117555
7801,2.0,87.0,50.0,35.0,27,0.41447842499153953,0.002729836866881501
7802,2.0,87.0,50.0,35.0,28,0.4886242155646069,0.002809249484172632
7803,2.0,87.0,50.0,35.0,25,0.3776966678028243,0.003901896017723773
7804,2.0,87.0,50.0,35.0,27,0.4042168285333795,0.002842658488803525
7805,2.0,87.0,50.0,35.0,24,0.48929066898898865,0.003113037545856751
7806,2.0,87.0,50.0,35.0,28,0.47941564894442135,0.0027210614137803584
7807,2.0,87.0,50.0,35.0,24,0.4194383411351177,0.0033132963463058562
7808,2.0,87.0,50.0,35.0,27,0.4972425028457006,0.0028389721914798874
7809,2.0,87.0,50.0,35.0,25,0.45256502563828915,0.0028117991478824596
7810,2.0,87.0,50.0,35.0,26,0.4663131193807395,0.0032133031582462506
7811,2.0,87.0,50.0,35.0,27,0.3832562936721666,0.002648140303048215
7812,2.0,87.0,50.0,35.0,26,0.41703743510085467,0.002536606723881648
7813,2.0,87.0,50.0,35.0,24,0.4297647889684493,0.0037794375116606584
7871,2.0,87.0,50.0,45.0,23,0.47352394933211617,0.004992353440849156
7872,2.0,87.0,50.0,45.0,26,0.4714753578294796,0.003624216219430792
7873,2.0,87.0,50.0,45.0,24,0.4375642340426755,0.004067011140376246
7874,2.0,87.0,50.0,45.0,28,0.2857847755114685,0.00417414995533139
7875,2.0,87.0,50.0,45.0,25,0.43270640837924346,0.004774410729742443
